ml_method,metric,baseline,ml_mean,baseline_mean,pct_improvement,wilcoxon_p
ltr,ndcg_at_10,mlp,0.9998204364522456,0.9882168327149463,1.174196123073567,1.9073486328125e-06
ltr,spearman,gnn,0.9946888688868883,0.9729120912091208,2.2383088744126587,1.9073486328125e-06
ltr,precision_at_10,gnn,0.9249999999999998,0.9099999999999999,1.6483516483516376,0.25683925795785656
ltr,ndcg_at_10,gnn,0.9998204364522456,0.9995008752797767,0.03197207530002871,1.9073486328125e-06
gnn,spearman,composite,0.9729120912091208,-0.048144014401440144,-2120.8370724897795,1.9073486328125e-06
gnn,precision_at_10,composite,0.9099999999999999,0.0,,1.7074739053089123e-05
gnn,ndcg_at_10,composite,0.9995008752797767,0.12071624063126471,727.9754820503518,1.9073486328125e-06
gnn,spearman,equal_weighted,0.9729120912091208,0.011833183318331832,8121.896551724138,1.9073486328125e-06
gnn,precision_at_10,equal_weighted,0.9099999999999999,0.0,,1.7074739053089123e-05
gnn,ndcg_at_10,equal_weighted,0.9995008752797767,0.12030383915489376,730.8137814229669,1.9073486328125e-06
gnn,spearman,dependency_only,0.9729120912091208,0.14661426023015559,563.5862634929508,1.9073486328125e-06
gnn,precision_at_10,dependency_only,0.9099999999999999,0.12500000000000003,627.9999999999998,4.941066503474539e-05
gnn,ndcg_at_10,dependency_only,0.9995008752797767,0.7640435142585627,30.817271088244862,1.9073486328125e-06
gnn,spearman,pagerank_only,0.9729120912091208,0.0,,1.9073486328125e-06
gnn,precision_at_10,pagerank_only,0.9099999999999999,0.12500000000000003,627.9999999999998,4.941066503474539e-05
gnn,ndcg_at_10,pagerank_only,0.9995008752797767,0.7588117739943985,31.71921015647749,1.9073486328125e-06
gnn,spearman,reliability_only,0.9729120912091208,-0.15508310831083105,-727.3488465675616,1.9073486328125e-06
gnn,precision_at_10,reliability_only,0.9099999999999999,0.015000000000000003,5966.666666666665,2.3088353712676434e-05
gnn,ndcg_at_10,reliability_only,0.9995008752797767,0.10185810199653607,881.26791653134,1.9073486328125e-06
gnn,spearman,revenue_weighted_only,0.9729120912091208,0.9991893189318931,-2.629854745731466,1.9073486328125e-06
gnn,precision_at_10,revenue_weighted_only,0.9099999999999999,0.9649999999999999,-5.699481865284969,0.004508698364904236
gnn,ndcg_at_10,revenue_weighted_only,0.9995008752797767,0.9999300232926676,-0.042917804535731886,3.814697265625e-06
gnn,spearman,propagation_only,0.9729120912091208,0.45555115511551153,113.56813176391245,1.9073486328125e-06
gnn,precision_at_10,propagation_only,0.9099999999999999,0.575,58.26086956521739,5.624201509968442e-05
gnn,ndcg_at_10,propagation_only,0.9995008752797767,0.9554919364691499,4.605893271402586,1.9073486328125e-06
gnn,spearman,random,0.9729120912091208,-0.01126072607260726,-8739.869977619099,1.9073486328125e-06
gnn,precision_at_10,random,0.9099999999999999,0.10500000000000002,766.6666666666664,6.86007277403571e-05
gnn,ndcg_at_10,random,0.9995008752797767,0.202533838740181,393.49821318598464,1.9073486328125e-06
gnn,spearman,composite_learned,0.9729120912091208,0.9991893189318931,-2.629854745731466,1.9073486328125e-06
gnn,precision_at_10,composite_learned,0.9099999999999999,0.9649999999999999,-5.699481865284969,0.004508698364904236
gnn,ndcg_at_10,composite_learned,0.9995008752797767,0.9999300232926676,-0.042917804535731886,3.814697265625e-06
gnn,spearman,gbt,0.9729120912091208,0.9995331533153313,-2.663349586545644,1.9073486328125e-06
gnn,precision_at_10,gbt,0.9099999999999999,0.9599999999999997,-5.208333333333316,0.007526315166457888
gnn,ndcg_at_10,gbt,0.9995008752797767,0.9999207372612947,-0.041989526356655905,3.814697265625e-06
gnn,spearman,mlp,0.9729120912091208,0.7295175517551755,33.36376744717829,1.9073486328125e-06
gnn,precision_at_10,mlp,0.9099999999999999,0.7449999999999999,22.147651006711417,9.15663878085217e-05
gnn,ndcg_at_10,mlp,0.9995008752797767,0.9882168327149463,1.141858971763266,1.9073486328125e-06
gnn,spearman,ltr,0.9729120912091208,0.9946888688868883,-2.189305456100755,1.9073486328125e-06
gnn,precision_at_10,ltr,0.9099999999999999,0.9249999999999998,-1.6216216216216113,0.25683925795785656
gnn,ndcg_at_10,ltr,0.9995008752797767,0.9998204364522456,-0.031961856431223234,1.9073486328125e-06
